Make,Model,Year,Price,Mileage,Manufacture_Date
Ford,SUV,2004,7881,46622,2004-04-10
Volkswagen,Coupe,2020,34863,46665,2016-01-06
Nissan,Minivan,2013,10622,32274,2003-11-17
Ford,Hatchback,2003,6378,142491,2011-06-22
Hyundai,Minivan,2021,76186,108368,2013-11-02
BMW,Sedan,2022,50201,146075,2003-02-04
Audi,Minivan,2000,64251,161938,2009-11-06
Ford,Coupe,2021,77572,153060,2005-10-19
Toyota,Coupe,2022,44255,186966,2001-10-25
Audi,Sedan,2018,68212,108563,2007-03-19
Toyota,Sedan,2007,55210,136746,2007-08-06
Chevrolet,Hatchback,2014,27499,93103,2016-12-16
Honda,Coupe,2020,56628,66446,2010-11-13
Ford,SUV,2014,66360,29072,2009-07-22
Audi,Coupe,2008,9603,33717,2004-03-03
Nissan,SUV,2020,17632,157723,2022-01-18
Toyota,Minivan,2008,35607,117202,2002-09-14
Mercedes-Benz,Truck,2009,70756,175363,2021-09-02
Hyundai,SUV,2019,51994,122389,2017-07-13
Audi,Hatchback,2020,68382,109525,2014-07-27
Honda,Convertible,2008,75354,194422,2010-07-12
Ford,Minivan,2002,61344,4646,2017-04-02
Audi,Sedan,2019,58775,39713,2000-04-08
Ford,Truck,2010,12349,67936,2006-04-07
BMW,Coupe,2005,76154,175403,2011-10-07
Toyota,SUV,2001,32464,22185,2021-05-06
Audi,Truck,2006,47624,84263,2019-11-20
Audi,Minivan,2017,42344,52107,2010-11-03
Honda,Convertible,2001,29299,197626,2020-03-21
Honda,SUV,2016,52975,17563,2014-08-13
Hyundai,Hatchback,2010,6462,70729,2013-05-13
Nissan,Coupe,2011,45581,15701,2010-10-29
Ford,Coupe,2018,76289,179289,2010-10-02
Volkswagen,SUV,2021,19175,175682,2013-06-12
Hyundai,Convertible,2006,11191,181203,2001-02-17
Honda,Sedan,2019,71537,128331,2004-03-30
Volkswagen,Sedan,2005,52645,160482,2012-05-23
Chevrolet,Coupe,2020,28283,99280,2019-07-21
Volkswagen,Minivan,2000,64123,189787,2017-12-28
Toyota,Minivan,2016,35024,38665,2005-04-30
Audi,Convertible,2010,54630,15957,2014-03-31
Honda,Coupe,2021,35734,179199,2000-07-10
Audi,Sedan,2017,5515,194661,2000-02-10
Hyundai,Coupe,2020,71727,46008,2016-02-18
BMW,SUV,2016,51216,61920,2009-06-11
Honda,Minivan,2006,76833,163947,2022-10-19
Honda,Minivan,2016,63755,113828,2016-03-06
Mercedes-Benz,Hatchback,2019,32856,123852,2005-04-25
Audi,SUV,2008,78870,132698,2011-07-23
Honda,Hatchback,2016,29162,90815,2020-08-07
BMW,Convertible,2019,11008,194894,2017-11-30
BMW,Sedan,2021,12987,164714,2017-01-13
Toyota,Convertible,2021,67532,38311,2004-04-07
Ford,Convertible,2007,8332,32356,2005-10-22
Honda,Sedan,2016,71323,3809,2002-10-25
BMW,Truck,2006,43990,174443,2022-08-26
BMW,Truck,2000,14873,34875,2015-06-27
Toyota,Coupe,2012,41444,9465,2008-04-26
Mercedes-Benz,Truck,2022,40340,197167,2005-02-21
Ford,SUV,2018,10033,73844,2006-03-21
Nissan,Minivan,2018,78324,196322,2004-05-26
Honda,Hatchback,2016,20689,86889,2008-08-05
Nissan,Minivan,2012,5066,15250,2001-08-28
Nissan,Convertible,2015,50246,46023,2012-12-18
Hyundai,Minivan,2007,12533,101350,2010-01-13
Mercedes-Benz,Coupe,2018,75152,177696,2016-01-09
Hyundai,Convertible,2017,64658,16427,2014-12-15
Audi,Sedan,2000,43498,164348,2005-11-14
Volkswagen,Minivan,2013,16772,71643,2011-09-10
Toyota,Truck,2018,54036,134511,2022-03-13
BMW,Sedan,2014,63531,78672,2003-10-08
BMW,Coupe,2017,17940,17300,2009-06-24
Ford,Hatchback,2001,21932,60289,2000-12-13
Mercedes-Benz,SUV,2021,61827,148254,2000-01-01
BMW,Truck,2016,66431,181984,2000-03-03
Hyundai,Sedan,2017,29648,157981,2004-11-18
Volkswagen,Hatchback,2005,37966,19659,2017-12-23
Hyundai,Minivan,2018,32777,162475,2002-11-08
Nissan,Truck,2003,37567,164658,2003-05-19
Audi,Convertible,2000,22174,10360,2005-06-07
BMW,SUV,2007,47598,21424,2004-05-13
Nissan,Minivan,2022,64199,98035,2017-02-17
BMW,Hatchback,2006,18798,48791,2005-05-06
Honda,Truck,2002,70364,134137,2004-08-22
Chevrolet,Minivan,2009,22558,199867,2002-08-12
Toyota,SUV,2009,66084,12300,2009-01-04
Toyota,Hatchback,2018,49237,33370,2002-08-26
BMW,Convertible,2013,70497,27209,2000-08-29
Volkswagen,Convertible,2001,5178,20927,2011-08-05
Mercedes-Benz,Sedan,2000,22118,34579,2022-10-30
Ford,Coupe,2022,27616,9032,2020-02-14
Volkswagen,Sedan,2022,5798,93254,2014-02-17
Mercedes-Benz,SUV,2017,12601,78413,2002-10-22
Volkswagen,Sedan,2006,30363,171803,2009-03-13
Honda,Hatchback,2007,7795,113528,2014-05-24
Volkswagen,Truck,2000,50264,184839,2015-09-15
Ford,Hatchback,2022,77833,123916,2021-01-09
Toyota,Sedan,2002,8084,72302,2008-01-30
Volkswagen,Coupe,2022,5731,181026,2020-03-25
Hyundai,Hatchback,2007,6129,85757,2006-12-30
Mercedes-Benz,Hatchback,2021,33022,156174,2003-02-24
Audi,Hatchback,2014,6605,165505,2004-10-01
Mercedes-Benz,Coupe,2004,49130,15932,2021-09-18
Toyota,Hatchback,2002,34265,25714,2002-11-04
Volkswagen,SUV,2018,37330,57803,2017-06-09
Hyundai,Convertible,2000,73469,170815,2019-07-07
Volkswagen,Coupe,2014,20187,133624,2007-12-22
Volkswagen,SUV,2007,30791,56627,2013-04-02
BMW,Coupe,2001,75610,177059,2003-05-27
Honda,Coupe,2002,44867,79810,2022-03-04
Ford,Convertible,2013,5893,45380,2009-05-05
Honda,Truck,2013,24773,160322,2006-11-04
Audi,SUV,2010,9239,199416,2019-08-09
Toyota,Coupe,2015,25863,64686,2016-09-23
Volkswagen,Minivan,2003,56415,120321,2009-09-15
Chevrolet,Coupe,2019,73968,45028,2003-04-28
Honda,Sedan,2004,65430,146367,2001-02-22
Nissan,Hatchback,2021,6515,113141,2013-07-31
Chevrolet,Truck,2020,19605,55248,2002-02-27
Honda,Convertible,2013,61240,10523,2005-02-14
Nissan,Minivan,2022,10586,45530,2005-07-18
Toyota,SUV,2015,36186,13769,2017-02-24
Volkswagen,Coupe,2017,31928,194114,2006-09-12
Hyundai,Hatchback,2006,25711,112035,2020-05-04
Hyundai,SUV,2009,59962,175717,2013-03-16
Honda,Convertible,2006,25039,193214,2007-04-05
Volkswagen,Truck,2000,41561,156629,2001-06-23
Honda,Sedan,2022,6577,79782,2017-10-17
Toyota,Truck,2020,33350,78382,2013-01-07
Nissan,Sedan,2018,38798,168157,2016-04-25
Volkswagen,SUV,2015,15785,181780,2009-01-02
Chevrolet,Truck,2018,77227,182429,2015-03-09
Nissan,Truck,2003,66957,110939,2007-07-21
Chevrolet,Truck,2017,70431,144542,2014-07-17
Chevrolet,Convertible,2001,22297,78712,2011-03-31
Toyota,SUV,2000,76894,118643,2005-03-10
Ford,Minivan,2014,68772,107417,2006-11-05
Ford,Sedan,2004,24581,137877,2007-09-30
Volkswagen,Truck,2019,60192,128256,2000-02-17
Audi,SUV,2010,6462,193100,2006-06-22
Mercedes-Benz,Minivan,2009,69173,181844,2015-07-07
Ford,Hatchback,2001,20511,183176,2017-09-06
Volkswagen,Convertible,2002,53665,101422,2022-05-22
Chevrolet,Convertible,2022,49414,89300,2020-11-21
Hyundai,Hatchback,2022,77573,6630,2021-09-18
Ford,SUV,2011,18386,124474,2019-04-29
Toyota,Sedan,2019,59460,98869,2007-09-03
Volkswagen,SUV,2004,11221,15701,2005-09-17
Mercedes-Benz,SUV,2004,28474,145931,2018-05-30
Honda,Coupe,2005,26045,152255,2016-11-07
Audi,Minivan,2008,9922,171510,2003-02-23
Chevrolet,Convertible,2001,27706,97285,2000-03-03
Chevrolet,Sedan,2020,47771,117556,2008-08-19
Honda,Coupe,2011,57335,173316,2016-04-04
Ford,Hatchback,2002,57949,15021,2002-01-21
Hyundai,SUV,2019,75714,186637,2021-04-16
Honda,Hatchback,2021,20240,179115,2001-12-01
Hyundai,Convertible,2011,7716,64361,2004-03-20
Chevrolet,Coupe,2016,21574,132317,2008-04-20
Mercedes-Benz,Minivan,2009,78717,172083,2016-11-19
Ford,Coupe,2013,49066,10355,2017-06-04
Volkswagen,Sedan,2022,66826,98841,2005-06-06
Chevrolet,Minivan,2016,25213,179764,2015-11-14
Honda,SUV,2017,76916,180076,2020-12-09
Hyundai,Sedan,2018,71151,160786,2021-08-12
Hyundai,Coupe,2016,55906,17198,2006-05-03
Chevrolet,Minivan,2013,5463,66951,2021-10-16
Chevrolet,Coupe,2008,36973,132724,2004-07-07
Mercedes-Benz,Sedan,2007,79694,174697,2021-01-30
Mercedes-Benz,Coupe,2001,25651,18740,2018-11-22
BMW,Minivan,2012,73694,3810,2010-05-28
Honda,Truck,2006,25008,123743,2006-10-14
Toyota,Convertible,2008,75474,147641,2019-04-25
Honda,SUV,2021,43185,99855,2016-08-03
Mercedes-Benz,Convertible,2021,79417,26783,2016-12-31
BMW,SUV,2010,76139,121701,2019-06-25
Ford,Minivan,2013,39980,78047,2006-03-06
Chevrolet,Coupe,2003,27504,9471,2009-03-22
Audi,Minivan,2012,59970,110771,2020-03-23
Honda,Sedan,2001,21766,6163,2007-09-28
Honda,Sedan,2022,16695,194159,2006-10-23
Nissan,Coupe,2004,22796,62071,2009-11-12
Mercedes-Benz,SUV,2010,47543,16065,2009-08-22
Audi,Coupe,2005,19559,122323,2012-05-14
Volkswagen,SUV,2017,38139,117969,2004-07-01
Nissan,Coupe,2020,13802,83456,2003-04-27
Toyota,Coupe,2009,78843,179420,2020-02-10
Honda,Coupe,2003,45205,19154,2012-11-16
BMW,Sedan,2008,39159,105703,2014-11-17
BMW,SUV,2005,16516,20229,2000-01-20
Volkswagen,Hatchback,2001,55492,52587,2001-11-06
Hyundai,Coupe,2016,34086,49713,2012-04-04
Nissan,Convertible,2004,35480,158069,2001-08-31
Nissan,Convertible,2005,57091,21101,2017-03-18
BMW,Minivan,2011,52766,40391,2000-03-02
BMW,Minivan,2022,43737,72723,2003-02-28
Chevrolet,Sedan,2020,14265,190477,2010-03-05
BMW,Truck,2009,75990,166020,2014-05-09
Mercedes-Benz,Hatchback,2021,20386,100264,2015-03-22
BMW,Sedan,2020,42425,184103,2013-10-01
Nissan,Truck,2005,48254,37921,2017-10-03
Chevrolet,Sedan,2007,58634,28460,2003-12-13
Toyota,Minivan,2001,52662,152143,2004-07-11
Nissan,Convertible,2011,15143,197190,2006-11-07
BMW,Coupe,2012,20581,179354,2008-12-13
BMW,SUV,2020,72443,91725,2000-10-08
BMW,Minivan,2006,34424,58445,2009-04-26
Chevrolet,Coupe,2009,46984,82208,2003-05-20
Honda,Convertible,2012,46505,185888,2013-01-12
Chevrolet,SUV,2016,67699,106283,2019-01-01
Ford,Truck,2020,31957,85779,2002-02-24
Mercedes-Benz,Truck,2013,30464,3060,2008-09-29
Audi,Convertible,2001,28649,125806,2013-02-10
Mercedes-Benz,SUV,2021,47065,13731,2010-05-03
BMW,Coupe,2010,39758,77830,2014-08-25
Audi,Convertible,2000,10596,115871,2001-06-17
Toyota,Truck,2018,21374,20719,2010-01-11
Hyundai,Convertible,2020,8775,178114,2000-05-09
Nissan,Coupe,2003,32388,49116,2008-02-07
Honda,Sedan,2018,26029,26325,2005-02-01
Hyundai,Hatchback,2020,58639,153669,2009-12-28
Chevrolet,Hatchback,2010,19645,198511,2008-06-24
Ford,Minivan,2007,36105,14551,2009-08-13
Volkswagen,Hatchback,2010,18668,93287,2013-04-22
Mercedes-Benz,Sedan,2003,20960,24278,2001-12-24
Hyundai,Coupe,2016,16357,15141,2002-01-07
Ford,Minivan,2006,69604,67913,2003-07-23
BMW,SUV,2007,56796,33615,2009-07-12
Chevrolet,Convertible,2002,20804,122058,2000-12-05
Chevrolet,Coupe,2021,19626,193823,2000-06-01
Nissan,Sedan,2001,33132,112684,2015-07-25
Audi,Minivan,2022,12951,27452,2008-05-09
Audi,Truck,2014,11449,153797,2001-03-02
Hyundai,Hatchback,2021,24065,50391,2019-07-26
Toyota,Hatchback,2021,14130,120288,2022-03-31
Audi,Coupe,2004,67287,113535,2017-05-18
Audi,Hatchback,2000,56702,142770,2006-06-30
BMW,Hatchback,2003,41993,86711,2022-04-01
BMW,Coupe,2014,36875,77850,2002-08-07
Ford,Coupe,2019,11054,109733,2021-01-25
Chevrolet,Minivan,2018,53517,2365,2003-10-05
Chevrolet,Sedan,2002,34670,97662,2019-05-23
Chevrolet,Sedan,2019,54112,43372,2006-10-18
Ford,Hatchback,2010,33307,44134,2020-10-15
Volkswagen,Minivan,2016,72087,37823,2001-01-05
BMW,Coupe,2012,52922,71158,2021-06-16
Ford,Coupe,2010,68080,96076,2006-04-15
Chevrolet,Hatchback,2001,31312,133021,2019-04-05
Hyundai,SUV,2008,71985,49396,2017-04-25
BMW,Truck,2001,62608,108336,2019-07-22
Honda,Convertible,2020,45277,31912,2019-03-30
Audi,Convertible,2008,36551,56947,2017-09-27
BMW,Hatchback,2008,61597,44387,2011-05-08
BMW,Minivan,2007,50212,195037,2011-01-04
Chevrolet,Convertible,2016,14637,16508,2006-06-22
Mercedes-Benz,Sedan,2000,48258,45592,2014-04-27
Volkswagen,Minivan,2010,40693,109249,2016-05-06
BMW,Minivan,2007,14824,1919,2019-12-27
Ford,Sedan,2009,31950,42595,2018-06-30
Toyota,SUV,2006,28488,140689,2002-10-01
Chevrolet,Hatchback,2002,5215,33298,2019-04-28
Chevrolet,Sedan,2002,16523,138001,2010-04-13
Mercedes-Benz,Hatchback,2017,73689,14456,2007-10-17
Nissan,Hatchback,2004,28834,109599,2017-02-22
Toyota,Minivan,2011,39474,86676,2008-02-12
Honda,Coupe,2011,48066,83721,2012-09-11
Audi,Truck,2018,15400,37924,2007-07-18
Nissan,Truck,2005,15345,24240,2009-12-03
Hyundai,Hatchback,2001,38896,87381,2007-06-25
BMW,Truck,2011,33899,9228,2017-09-21
Hyundai,Truck,2018,33229,21686,2017-05-22
Honda,Convertible,2004,10583,11920,2004-08-20
Ford,Minivan,2011,9897,7432,2001-11-15
Volkswagen,Convertible,2016,76537,194647,2007-12-29
Ford,Coupe,2016,9567,110507,2019-08-15
Ford,SUV,2009,79807,130509,2010-04-14
Ford,Minivan,2022,18329,71725,2014-12-07
Toyota,Sedan,2016,76792,164982,2008-12-27
Chevrolet,Sedan,2014,5228,121764,2012-11-04
BMW,Convertible,2011,42052,161298,2018-09-11
Audi,Hatchback,2015,62769,59099,2020-02-15
Toyota,Truck,2018,51032,112557,2003-03-02
Nissan,Coupe,2007,38686,86760,2008-05-19
Nissan,SUV,2020,68261,18013,2019-08-06
Toyota,Convertible,2016,7809,21446,2016-03-16
Honda,Hatchback,2022,46785,105209,2016-02-19
Hyundai,Coupe,2004,41547,193581,2012-03-03
Toyota,Hatchback,2021,47818,102261,2017-08-15
Toyota,Coupe,2015,76927,95739,2003-07-16
Audi,Convertible,2005,70681,557,2021-08-20
Audi,Coupe,2007,42333,161738,2005-08-29
Chevrolet,Minivan,2017,21576,168461,2005-06-02
Audi,Truck,2011,44405,178772,2004-10-02
Chevrolet,Coupe,2014,78779,130878,2005-04-02
Ford,SUV,2008,36601,99143,2001-12-01
Hyundai,Coupe,2012,72946,24578,2011-01-29
Honda,Minivan,2014,72356,74779,2005-09-04
Hyundai,Sedan,2009,57116,140668,2012-10-05
Chevrolet,Minivan,2015,67894,57500,2001-01-29
Audi,Coupe,2006,39635,72534,2008-05-06
Toyota,Hatchback,2016,12465,10129,2009-06-14
BMW,Convertible,2022,61754,194466,2001-06-06
Ford,Sedan,2020,43871,197118,2004-01-08
Mercedes-Benz,Convertible,2021,67874,11596,2017-01-21
Nissan,Hatchback,2006,34511,65355,2022-03-22
Chevrolet,SUV,2013,53821,12974,2018-08-25
Hyundai,Truck,2014,70776,197745,2003-11-22
Audi,SUV,2020,75167,112004,2021-11-13
Ford,Sedan,2006,49462,126794,2000-10-12
Nissan,Hatchback,2008,66382,70202,2007-07-08
Mercedes-Benz,Hatchback,2018,37574,74442,2019-06-18
Toyota,Truck,2015,46910,152890,2012-03-22
Toyota,Coupe,2007,78531,174318,2003-12-16
Chevrolet,Sedan,2017,30186,55598,2015-12-25
Chevrolet,Truck,2022,27813,133726,2004-01-06
Audi,Minivan,2017,23557,33758,2019-08-16
BMW,Minivan,2019,33060,24204,2012-02-13
Audi,Convertible,2006,63866,127309,2016-03-29
Honda,Truck,2002,77104,166000,2003-03-24
Ford,Convertible,2017,11080,184681,2006-12-26
Ford,Minivan,2009,18854,30552,2011-12-19
Hyundai,Minivan,2006,72695,141408,2017-04-23
Toyota,Convertible,2016,32025,47037,2013-04-24
Volkswagen,Hatchback,2013,57982,147278,2016-01-12
Audi,Truck,2002,46081,34831,2003-04-18
Hyundai,Hatchback,2011,9368,43563,2020-02-14
Chevrolet,Minivan,2012,32094,18361,2017-06-26
Ford,Hatchback,2001,51040,41335,2003-01-24
Chevrolet,SUV,2002,71766,74469,2022-12-19
Audi,SUV,2004,28991,25816,2010-11-19
Nissan,Hatchback,2010,6301,146691,2003-07-16
Chevrolet,Hatchback,2007,33610,92479,2010-01-03
Volkswagen,Convertible,2022,39678,26819,2013-02-07
Ford,Hatchback,2022,29466,142813,2006-01-26
Audi,Sedan,2011,45875,122330,2018-01-16
Hyundai,Truck,2006,31081,8798,2002-10-14
BMW,Sedan,2014,29354,156215,2014-03-04
BMW,SUV,2016,23300,49695,2009-10-30
Audi,Sedan,2003,69384,163819,2022-07-23
BMW,Coupe,2021,65892,129544,2016-11-28
Ford,Coupe,2012,40525,152254,2018-03-14
Nissan,SUV,2017,31532,9415,2012-12-05
Chevrolet,Sedan,2000,11464,142157,2016-06-20
Volkswagen,Truck,2015,21562,146080,2014-01-09
Mercedes-Benz,SUV,2012,60514,87638,2021-01-13
Hyundai,Coupe,2009,79219,18452,2005-09-20
Ford,SUV,2011,37634,195147,2005-08-18
Toyota,Sedan,2001,5060,139192,2010-01-28
Honda,Sedan,2022,14269,195457,2013-05-17
Honda,Sedan,2002,68143,110205,2008-07-11
Hyundai,Convertible,2009,28065,18170,2020-03-19
Ford,Sedan,2001,7895,16259,2004-06-17
Audi,Hatchback,2022,17352,22099,2004-03-23
Chevrolet,Coupe,2012,54737,140721,2020-07-26
Audi,Minivan,2012,37016,129394,2015-10-18
Audi,Coupe,2017,66304,59258,2005-03-19
Toyota,Convertible,2002,16962,172109,2003-12-07
BMW,Coupe,2006,38302,11805,2013-10-10
Honda,Coupe,2013,9011,43147,2009-01-30
Mercedes-Benz,SUV,2019,24782,74280,2011-04-09
Mercedes-Benz,Minivan,2016,72691,177125,2012-06-18
Chevrolet,Minivan,2020,44725,106777,2015-03-26
Honda,Sedan,2011,14196,97841,2016-10-06
Toyota,Hatchback,2015,48459,124726,2008-05-19
Hyundai,Hatchback,2011,37769,128359,2022-02-23
Ford,SUV,2014,29700,76215,2010-03-20
Audi,Hatchback,2009,10269,112909,2017-04-28
Audi,SUV,2006,48880,95365,2009-01-30
Volkswagen,Minivan,2019,13320,10985,2005-08-08
Hyundai,Minivan,2004,54589,12391,2008-08-10
Volkswagen,Minivan,2000,40897,4861,2008-10-26
Volkswagen,Hatchback,2016,63565,194654,2013-11-12
BMW,Coupe,2002,35930,183000,2001-12-23
Mercedes-Benz,Minivan,2012,62233,34364,2021-04-15
Volkswagen,Truck,2013,19380,82399,2020-09-16
Audi,Sedan,2017,75934,42923,2022-08-28
Honda,Truck,2003,60830,138991,2013-03-28
Honda,Coupe,2017,10529,186968,2010-06-16
BMW,Convertible,2004,54178,85818,2009-03-18
Honda,SUV,2015,11937,178468,2016-09-02
Audi,Hatchback,2000,44886,165912,2011-10-28
Mercedes-Benz,Hatchback,2020,54699,173327,2018-12-28
Mercedes-Benz,Coupe,2013,30279,71160,2007-08-12
Mercedes-Benz,Hatchback,2014,43106,128165,2020-04-03
Ford,Coupe,2008,45544,139248,2006-09-18
Hyundai,Truck,2014,13997,33529,2014-06-24
Ford,Convertible,2016,45860,187478,2001-03-01
Ford,SUV,2003,8225,144013,2010-11-19
Ford,Hatchback,2011,64470,1669,2018-04-05
Honda,Convertible,2004,68656,117373,2005-10-25
Nissan,Convertible,2004,56880,44859,2003-07-24
Honda,Convertible,2010,66078,55786,2013-09-24
Nissan,Sedan,2005,61633,182155,2005-05-18
Honda,Convertible,2006,31655,171148,2015-03-30
Audi,Minivan,2013,48601,20323,2014-06-15
Hyundai,Coupe,2010,8114,6021,2006-06-18
Toyota,Sedan,2012,31502,39807,2005-08-01
Toyota,Minivan,2001,54768,128305,2003-03-30
Ford,Sedan,2006,53128,50355,2010-10-09
Toyota,Convertible,2019,25028,113415,2015-11-12
Hyundai,Hatchback,2003,60565,175804,2022-05-17
Hyundai,Hatchback,2007,40333,8711,2002-02-16
Chevrolet,Hatchback,2019,8174,194151,2009-04-02
BMW,Hatchback,2021,40398,7904,2006-08-15
Hyundai,Coupe,2020,40929,64033,2011-03-01
BMW,Hatchback,2018,9321,86478,2006-09-05
Toyota,SUV,2012,60421,120035,2021-05-14
BMW,Convertible,2013,77635,186168,2014-06-05
Nissan,Sedan,2009,28760,3093,2015-04-19
Audi,SUV,2010,16360,24918,2005-06-12
BMW,Hatchback,2001,15313,193708,2021-07-17
Audi,SUV,2008,10801,189878,2002-08-02
Ford,Sedan,2016,19130,140466,2022-07-04
Toyota,Hatchback,2002,19271,124501,2005-03-12
Audi,SUV,2005,21075,92510,2015-09-30
Volkswagen,Coupe,2004,23984,93708,2014-02-06
Ford,Coupe,2004,65942,97819,2004-08-24
Audi,Convertible,2021,17861,144352,2016-02-11
Chevrolet,Convertible,2014,76376,36303,2004-07-23
BMW,Minivan,2022,66247,27453,2004-11-20
Chevrolet,SUV,2016,74101,108886,2016-04-14
Hyundai,Sedan,2008,25977,60695,2007-02-20
Nissan,Coupe,2002,55617,199521,2007-03-15
Ford,Truck,2019,62473,156837,2020-12-21
Mercedes-Benz,Convertible,2016,77902,133412,2000-08-26
Mercedes-Benz,Minivan,2009,20630,38057,2009-09-06
Audi,Coupe,2002,25056,131669,2010-07-28
BMW,Minivan,2017,12382,189060,2021-08-17
Toyota,Hatchback,2017,60739,94655,2019-07-25
Mercedes-Benz,SUV,2016,53639,15025,2016-01-18
Toyota,Minivan,2002,64838,7145,2000-09-05
Mercedes-Benz,Coupe,2002,51041,101206,2011-11-02
Ford,Coupe,2005,5992,186869,2019-06-11
Mercedes-Benz,SUV,2012,77394,41723,2007-10-31
Hyundai,Convertible,2014,72657,73230,2001-12-24
Honda,Convertible,2008,32160,135902,2001-07-23
Audi,Truck,2003,50156,155002,2007-10-05
Nissan,Truck,2013,56375,154824,2021-09-15
Mercedes-Benz,Convertible,2004,24572,108138,2018-04-07
BMW,Convertible,2001,9136,62040,2005-10-23
Nissan,Minivan,2010,66868,108668,2010-12-14
Toyota,Convertible,2008,37167,198768,2008-06-16
Chevrolet,Convertible,2002,20479,195720,2019-08-14
Hyundai,Coupe,2008,36376,55030,2019-09-28
Volkswagen,Truck,2002,9823,56815,2000-02-19
Volkswagen,SUV,2001,75456,112789,2001-05-29
Nissan,Sedan,2011,24585,166762,2012-10-15
Chevrolet,SUV,2009,22272,57923,2021-03-20
BMW,Hatchback,2008,31619,167644,2003-03-11
Nissan,Sedan,2014,44895,185102,2001-02-18
Toyota,Coupe,2007,8720,67904,2003-01-09
Ford,Hatchback,2004,24267,160275,2013-04-20
Nissan,Truck,2010,20696,77088,2009-03-10
Volkswagen,Sedan,2001,34968,5608,2006-08-13
Honda,Convertible,2014,58364,45667,2015-05-13
Volkswagen,Hatchback,2005,28345,55547,2014-12-18
Chevrolet,Coupe,2007,56567,153557,2019-09-10
Toyota,Sedan,2004,66607,140934,2015-07-13
BMW,Convertible,2015,24385,128391,2022-08-13
Hyundai,Hatchback,2017,71900,75948,2009-10-03
Audi,Coupe,2005,73244,71880,2017-06-23
Honda,Hatchback,2004,70425,57560,2018-09-16
Hyundai,Sedan,2015,37919,115063,2013-01-04
Nissan,Convertible,2012,62196,94218,2022-03-29
Honda,Truck,2004,5495,114462,2010-05-13
Chevrolet,Minivan,2012,49755,159487,2013-10-02
Toyota,Coupe,2016,72684,195595,2002-09-09
BMW,Sedan,2017,38324,150395,2003-09-07
Hyundai,Convertible,2007,6552,184286,2015-08-01
Nissan,Truck,2012,56272,17997,2016-06-07
Toyota,Hatchback,2018,40853,121266,2001-06-10
Nissan,Convertible,2002,37924,188075,2018-03-14
BMW,Minivan,2007,79462,3679,2019-11-09
Hyundai,Truck,2001,28889,40308,2002-07-19
Nissan,Sedan,2007,59675,170914,2006-04-01
Toyota,Convertible,2012,78591,196480,2005-04-30
Nissan,Minivan,2012,75190,185010,2009-03-14
Hyundai,Convertible,2000,27634,5695,2022-03-18
Toyota,SUV,2005,37363,58499,2008-01-04
Chevrolet,Coupe,2018,68752,23382,2009-12-04
Ford,Convertible,2015,61398,14235,2014-12-22
Toyota,Minivan,2007,45718,193295,2003-05-08
Honda,Truck,2000,31870,133438,2019-06-20
Ford,Coupe,2015,42394,158539,2013-09-01
Nissan,Sedan,2008,57057,190388,2013-02-08
Hyundai,Minivan,2012,18016,112468,2018-09-01
Toyota,Coupe,2010,47137,6764,2012-12-09
Hyundai,SUV,2012,5153,113831,2006-06-30
Toyota,Sedan,2020,12853,61836,2009-01-12
Hyundai,Convertible,2009,17379,31923,2017-08-30
Honda,Minivan,2003,20792,95711,2010-06-06
Audi,Hatchback,2005,43367,16292,2006-08-04
Ford,Sedan,2006,23100,124913,2013-04-26
Ford,Minivan,2004,68456,132686,2013-10-06
Toyota,Sedan,2010,16049,20939,2011-08-31
Nissan,SUV,2012,5786,18800,2013-03-21
BMW,Truck,2018,74904,56440,2022-10-07
BMW,Sedan,2022,35699,154318,2005-02-17
Ford,Minivan,2009,52691,127521,2008-07-20
Audi,Truck,2009,42040,183877,2011-07-26
BMW,Coupe,2010,62986,121327,2014-05-21
Mercedes-Benz,Hatchback,2020,43762,49648,2008-10-03
BMW,SUV,2006,28600,115192,2019-05-23
Volkswagen,Convertible,2017,24810,187923,2003-04-25
Hyundai,Minivan,2003,62204,162760,2014-10-18
Ford,Minivan,2001,25085,93498,2011-04-10
Audi,Minivan,2013,51854,29764,2014-11-12
Nissan,Sedan,2012,79797,32470,2013-01-10
Toyota,Hatchback,2011,44779,169573,2022-05-27
Chevrolet,Hatchback,2006,61207,57207,2001-01-10
Honda,Truck,2001,38980,62157,2020-04-18
Ford,Sedan,2012,61117,134288,2012-01-16
Audi,Minivan,2013,19141,153144,2010-07-26
Toyota,Hatchback,2016,14344,93778,2004-08-13
Chevrolet,Minivan,2008,20896,130016,2013-09-21
Volkswagen,Minivan,2016,34813,124288,2000-09-13
Ford,Minivan,2007,70679,168204,2009-11-09
Nissan,SUV,2001,15681,110573,2000-02-20
Honda,Convertible,2012,77903,120730,2018-01-16
Chevrolet,Coupe,2002,8228,148933,2020-05-12
Nissan,Coupe,2015,9582,64186,2001-08-17
BMW,Truck,2005,16397,4960,2012-12-14
Toyota,Hatchback,2018,43799,18781,2010-08-09
Ford,Coupe,2006,42011,31126,2015-09-27
Toyota,Truck,2009,49264,153650,2014-05-04
Chevrolet,Convertible,2008,47317,106034,2004-01-16
Mercedes-Benz,Minivan,2001,52914,17883,2013-05-02
Mercedes-Benz,Sedan,2014,50254,29782,2021-12-28
Honda,SUV,2004,45096,56387,2008-04-08
BMW,Convertible,2021,58785,148051,2016-08-10
